company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,total_filed,wilson_lower,wilson_upper,point_rate,uncertainty_width,recommendation,Y,Y_hat,group
AI PROTEINS INC,Biotechnology,aiproteins.com,BOSTON,MA,2215,(617) 412-6117,2021.0,4.0,"Chris A. Bahl, Chris Bahl, Julia A. Novina, Marc A. Cohen, Noah Beerman, Wendy Dwyer","Bill A. McKee, Bobby Sandage, Bruce Evans, Carl A. Novina, Dominique A. Verhelle, Drew Dennison, Elena A. Prokupets, Geoff A. Meyerson, Malcolm Salter, Mark Alles, Todd Kaloudis",38205000.0,10000000.0,Seed,2024-03-21,4.0,0.0,100.0,100000.0,"['Investigator', 'Scientist I']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,YOUNG
AIM INTELLIGENT MACHINES INC,Other Technology,,MONROE,WA,98272,(425) 671-7095,2021.0,4.0,Adam Sadilek,Sven Strohband,41069962.0,41069962.0,Series C,2024-12-19,10.0,0.0,100.0,110000.0,['Machine Learning Engineer'],10.0,0.7224598312333834,1.0,1.0,0.2775401687666166,PRIORITIZE,1,1,YOUNG
AKOYA BIOSCIENCES INC,Other,,SAN FRANCISCO,CA,94108,(415) 765-6980,2015.0,10.0,"Brian McKelligon, Rob Hart","Garry Nolan, Matthew Winkler, Robert Shepler, Thomas Raffin",34500000.0,25500000.0,Series B,2018-09-26,26.0,0.0,100.0,123833.0,"['Senior Research Associate', 'Sr. Product Manager, PhenoCycler Instruments']",26.0,0.8712669561953784,1.0,1.0,0.1287330438046215,PRIORITIZE,1,1,ESTABLISHED
ALECTOR LLC,Biotechnology,alector.com,SAN FRANCISCO,CA,94107,(415) 231-5660,2013.0,12.0,Arnon Rosenthal,"Carl Gordon, Terry McGuire, Tillman Gerngross",32275003.0,32275003.0,Series B,2015-09-01,10.0,0.0,100.0,129002.0,['Scientist'],10.0,0.7224598312333834,1.0,1.0,0.2775401687666166,PRIORITIZE,1,1,ESTABLISHED
ALLAKOS INC,Pharmaceuticals,,San Carlos,CA,94070,(650) 703-8123,2012.0,13.0,"Adam Tomasi, Alejandro Dorenbaum, Christopher Bebbington, Nenad Tomasevic, Robert Alexander","Dan Janney, Farah Champsi, John McKearn, Paul Walker, Peter Moldt, Steve James",147141464.0,100141456.0,Series D+,2017-11-30,8.0,0.0,100.0,154710.03999999998,"['Senior Network Architect', 'Data Analyst']",8.0,0.6755843804891231,1.0,1.0,0.3244156195108769,CONSIDER,1,0,ESTABLISHED
ALLENA PHARMACEUTICALS INC,Pharmaceuticals,allenapharmaceuticals.com,NEWTON,MA,2462,(617) 467-4577,2011.0,14.0,"Alexey Margolin, Louis Brenner, Louis Brenner, M.D., Richard D. Katz, M.D.","Alexey D. Margolin, Allene D. Diaz, Ann C. Miller, Axel Bolte, Gino D. Santini, Gino Santini, James Topper, Mark C. Fitzpatrick, Robert Tepper, Stephen Kraus",84052406.0,4052406.0,Seed,2022-05-04,4.0,0.0,100.0,112500.0,['Scientist I'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
ALLURION TECHNOLOGIES INC,Other Health Care,alluriontechnologies.com,NATICK,MA,1760,(508) 647-4000,2023.0,2.0,"Benoit Jacques Claude Chardon, Brendan Gibbons, Chris Geberth, Jonathan D Wecker, Ojas Buch, Ram Chuttani, Samuel G Levy, Shantanu Gaur, Shantanu K Gaur","Douglas Hudson Larson, Keith Douglas Johns, Krishna D Gupta, Krishna Jacques Claude Gupta, Michael Davin, Michael Jacques Claude Davin, Milena Douglas Alberti-Perez, Neil D Chheda, Nicholas Douglas Lewin, Nicholas Hudson Lewin, Omar Ishrak, Omar Jacques Claude Ishrak",134869513.0,7440000.0,Series A,2025-01-27,4.0,0.0,100.0,76939.0,"['Industrial Engineer', 'Sustaining Manufacturing Engineer']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,YOUNG
ALPHONSO INC,Other Technology,alphonso.com,Mountain View,CA,94041,(650) 918-0395,2013.0,12.0,Ashish Chordia,Lampros Kalampoukas,8704586.0,8704586.0,Series A,2017-04-27,130.0,6.0,95.58823529411764,125000.0,"['Technologist', 'Product Manager', 'Sr. Manager, Product Strategy and Business Intelligence', 'Senior Business and Data Analyst', 'Associate Product Manager']",136.0,0.9070912824936782,0.9796262607838588,0.9558823529411764,0.0725349782901805,PRIORITIZE,1,1,ESTABLISHED
ALVEO TECHNOLOGIES INC,Biotechnology,alveo.com,ALAMEDA,CA,94501,(510) 749-4895,2014.0,11.0,"Julianne Averill, Michael Aicher, Ron Chiarello, Ronald Chiarello, Yuh-Min Chiang","Isaac Blech, Lawrence Blatt, Nicholas Brathwaite, Robin Steele",77682969.0,30077438.0,Series B,2021-03-11,4.0,0.0,100.0,118000.0,['Data Scientist'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
AM BATTERIES INC,Other Technology,am-batteries.com,BILLERICA,MA,1821,(508) 831-5453,2021.0,4.0,,"Ani Achyuta, Anil Achyuta, Heng Pan, Jimmy Kan, Lie Shi, Lisa Coca, Yan Wang",104455924.0,29942949.0,Series B,2023-10-26,6.0,0.0,100.0,105000.0,['Senior Battery Engineer'],6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,YOUNG
AMBIQ MICRO INC,Other Technology,ambiqmicro.com,AUSTIN,TX,78730,(512) 879-2850,2010.0,15.0,"Edward B. Hill, Fumihide B. Esaka, Greg B. Van de Vere, Mark Foley, Paul B. Rolls, Ross B. Goolsby, Scott B. Goodwin, Scott Hanson, Sean B. Chen, Wen B. Hsieh","Clark B. Jernigan, Edward B. Hill, Huang B. Lee, Joseph A. Tautges, Ker B. Zhang, Kim B. Stevenson, Michael B. Li, Mike B. Noonen, Timothy A. Chen, Weijie B. Yun, Wen B. Hsieh",615399362.0,2408425.0,Seed,2024-07-21,14.0,0.0,100.0,160267.0,"['Staff Engineer, Physical Design', 'Sr. Staff Engineer, Digital Verification', 'System Test Engineer, Embedded Security', 'Sr. Engineer, Digital Verification']",14.0,0.7846829880728186,1.0,1.0,0.2153170119271814,PRIORITIZE,1,1,ESTABLISHED
AMPERITY INC,Other Technology,amperity.com,SEATTLE,WA,98121,(206) 432-8302,2015.0,10.0,"Amy Pelly, Derek Slager, Kabir Shahani","Kelly Wright, Matt McIlwain, Rajeev Singh",54795417.0,26795424.0,Series B,2019-11-27,18.0,0.0,100.0,192941.0,['Senior Software Engineer'],18.0,0.8241154494176252,1.0,1.0,0.1758845505823748,PRIORITIZE,1,1,ESTABLISHED
AMPLE INC,Other Energy,ample.com,SAN FRANCISCO,CA,94107,(617) 504-3557,2014.0,11.0,"John de Souza, Khaled Hassounah","Bilal Khan, James McIntyre, Robert Linck",300295697.0,74999976.0,Series B,2021-10-29,58.0,0.0,100.0,140200.0,"['Embedded Software Engineer', 'Manufacturing Engineer ', 'Mechanical Engineer']",58.0,0.9378800031047062,1.0,1.0,0.0621199968952936,PRIORITIZE,1,1,ESTABLISHED
AMPRIUS TECHNOLOGIES INC,Other Technology,,Fremont,CA,94538,(800) 425-8803,2021.0,4.0,"Constantin Ionel Stefan, Jonathan Bornstein, Kang Sun, Sandra Wallach","Donald R. Dixon, Justin R. Mirro, Steven R. Chu, Wen R. Hsieh",202000000.0,202000000.0,Pre-Seed,2022-09-27,14.0,0.0,100.0,139703.0,"['Staff Mechanical Engineer', 'Staff Product Engineer']",14.0,0.7846829880728186,1.0,1.0,0.2153170119271814,PRIORITIZE,1,1,YOUNG
ANAPLAN INC,Other,anaplan.com,SAN FRANCISCO,CA,94107,(415) 742-8199,2009.0,16.0,"Alan Priest, Anup Singh, Frank Calderoni, Frederic Laluyaux, James Budge, Michael Gould","Guy Haddleton, Michael Gould, Randall Glein, Randy Glein, Ravi D Mohan, Ravi Mohan, Rob Ward, Robert Calderoni, Robert D Ward, Sandesh Patnam, Standish D O'Grady, Standish O'Grady",249169053.0,59999962.0,Series C,2017-11-21,156.0,10.0,93.97590361445783,160000.0,"['Senior Software Engineer', 'Product Support Analyst', 'Business Intelligence Engineer', 'Associate Platform Engineer', 'Senior FP&A Analyst']",166.0,0.8926715772016495,0.966952919976898,0.9397590361445785,0.0742813427752486,PRIORITIZE,1,1,ESTABLISHED
ANCHORE INC,Other Technology,anchore.com,MONTECITO,CA,93108,(617) 640-6267,2015.0,10.0,Said Ziouani,"Andreas von Blottnitz, Douglas Carlisle, Ilya Kirnos",28249998.0,19999998.0,Series B,2020-01-17,20.0,0.0,100.0,84490.0,"['SAS Programmer', 'Systems Administrator', 'Database Administrator']",20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,ESTABLISHED
ANDIUM INC,Other Technology,andium.com,NEW YORK,NY,10003,(332) 234-0018,2014.0,11.0,"Ariel Nielsen, Jory Schwach","Geet G. Bhatt, Ghaith G. Alghamdi, Greg G. Fell, Marc G. van den Berg, Odd Harald Hauge, Thomas G. Miglis",48592745.0,26424916.0,Series B,2024-09-09,4.0,0.0,100.0,160593.5,"['Chief Operating Officer (COO) ', 'Machine Learning Engineer']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
ANGLE TECHNOLOGIES INC,Other Technology,angletechnologies.com,SAN FRANCISCO,CA,94110,(617) 792-6669,2014.0,11.0,"David Kosslyn, Ian Matthew Thompson","Hemant Matthew Taneja, John Matthew Lily",7999990.0,7999990.0,Series A,2015-10-30,8.0,2.0,80.0,95326.0,['Software Developer'],10.0,0.4901568467207233,0.9433190520193068,0.8,0.4531622052985833,CONSIDER,1,0,ESTABLISHED
ANOMALI INC,Other Technology,anomali.com,REDWOOD CITY,CA,94063,(844) 484-7328,2013.0,12.0,Hugh Njemanze,"Karim Faris, Steve Harrick, Steve Herrod, Tom Reilly",39999985.0,39999985.0,Series B,2018-01-08,18.0,0.0,100.0,145000.0,"['Customer Support Engineer ', 'Senior Product Manager']",18.0,0.8241154494176252,1.0,1.0,0.1758845505823748,PRIORITIZE,1,1,ESTABLISHED
ANTERA THERAPEUTICS INC,Other Health Care,,BOSTON,MA,2163,(888) 877-4324,2014.0,11.0,Clarence Friedman,,2668228.0,2668228.0,Seed,2016-05-23,20.0,0.0,100.0,83000.0,"['Research Associate, Protein Sciences']",20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,ESTABLISHED
APIXIO INC,Other Technology,apixio.com,SAN MATEO,CA,94402,(877) 427-4946,2009.0,16.0,"Darren Schulte, Jeff Harmon, Sachin Patel, Shahin Hedayat","Casey West, Eric Shuey, Farzad Nazem, James Bradley, Jared Kesselheim, Joel Portice, Petro Estakhri, Shahin Hedayat, Shahram Dastmalchi",40172302.0,5000000.0,Series A,2018-07-31,22.0,0.0,100.0,170000.0,"['Manager 1, Data Integration', 'Data Integration Specialist', 'Senior Product Designer']",22.0,0.8513404742740388,1.0,1.0,0.1486595257259612,PRIORITIZE,1,1,ESTABLISHED
APP ORCHID INC,Other Technology,app-orchid.com,SAN RAMON,CA,94583,(833) 277-6724,2013.0,12.0,"Krishnakumar Ramakrishnan, Vaibhav Nadgauda","Bankim Gopani, Hema Ramaswamy, Lokesh Sikaria, Vaibhav Nadgauda",92900000.0,12500000.0,Pre-Seed,2024-05-13,38.0,0.0,100.0,126277.0,['SENIOR DATA SCIENTIST '],38.0,0.90818706741616,1.0,1.0,0.0918129325838399,PRIORITIZE,1,1,ESTABLISHED
APPLIED DATA FINANCE LLC,Other Banking and Financial Services,applieddatafinance.com,SAN DIEGO,CA,92128,(941) 240-0107,2014.0,11.0,"Broud J. Kuhn, Broud Kuhn, Dan Chelew, Daniel Chelew, Daniel Zwirn, Glen Freter, Glen J. Freter, Jack Cohen, Krishna Gopinathan, Pranav Patel","Eric Schwartz, Richard J. Buoncore",101084281.0,70284281.0,Series B,2018-07-13,10.0,0.0,100.0,190000.0,"['DIRECTOR, FINANCE']",10.0,0.7224598312333834,1.0,1.0,0.2775401687666166,PRIORITIZE,1,1,ESTABLISHED
APPZEN INC,Other Technology,appzen.com,SUNNYVALE,CA,94085,(408) 647-5253,2012.0,13.0,"Anant Kale, Kunal Verma, Matt Zelen, Naresh Bansal","Alex Bard, Arif Janmohamed, Kunal Verma",102314149.0,50000000.0,Series C,2019-03-22,32.0,0.0,100.0,182000.0,['Director Product Marketing'],32.0,0.8928172849426366,1.0,1.0,0.1071827150573634,PRIORITIZE,1,1,ESTABLISHED
ARCTURUS THERAPEUTICS INC,Biotechnology,,SAN DIEGO,CA,92121,(858) 900-2660,2013.0,12.0,"Joseph Edward Payne, Padmanabh Edward Chivukula",Craig Edward Willett,10000000.0,10000000.0,Series A,2014-10-01,12.0,0.0,100.0,119600.16,['SCIENTIST I'],12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
ARISTA NETWORKS INC,Other Technology,aristanetworks.com,SANTA CLARA,CA,95054,(408) 547-5500,2014.0,11.0,"Anshul Sadana, Ita Brennan, Jayshree Ullal, Kenneth Duda, Marc Taxay","Ann Mather, Charles Giancarlo, Daniel Scheinman, Mark Templeton, Nikos Theodosopoulos",10213117.0,10213117.0,Series A,2018-09-12,702.0,18.0,97.5,119983.0,"['Software Engineer', 'Software Engineer ', 'Technical Solutions Engineer', 'POC Engineer', 'Technical Solutions Engineer ']",720.0,0.960829209013906,0.9841289144208344,0.975,0.0232997054069281,PRIORITIZE,1,1,ESTABLISHED
ARRAKIS THERAPEUTICS INC,Biotechnology,arrakistherapeutics.com,CAMBRIDGE,MA,2139,(857) 488-4488,2015.0,10.0,"David E. Neafus, Michael Gilman, Russell C. Petter","Alan E. Walts, Carolyn E. Green, Colleen Cuffaro, Colleen E. Cuffaro, Jakob Loven, Nikola Trbovic, Raj Parekh, Richard Gaster",116238453.0,74999986.0,Series A,2019-04-15,6.0,0.0,100.0,120000.0,['Scientist '],6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
ASAPP INC,Other Technology,asapp.com,New York,NY,10007,(212) 658-0990,2014.0,11.0,Gustavo Sapoznik,"David Strohm, James Montgomery, Jason Green, John Chambers, John Doerr, Mark Feldberg",125341857.0,117770895.0,Series D+,2021-04-30,20.0,0.0,100.0,210000.0,['Senior Engineering Manager '],20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,ESTABLISHED
ASCUS BIOSCIENCES INC,Other Health Care,ascusbiosciences.com,San Diego,CA,92121,(877) 696-8945,2015.0,10.0,"Mallory Embree, Michael Seely","Erik Torgerson, Jim Kim, Peter Innes, Thad Simons",13000000.0,5000000.0,Series A,2019-05-31,90.0,0.0,100.0,135000.0,"['Scientist', 'Senior Enterprise Systems & Data Analyst', 'Manager, IT Validation', 'Senior Research Associate']",90.0,0.9590629315783192,1.0,1.0,0.0409370684216807,PRIORITIZE,1,1,ESTABLISHED
ATTACKIQ INC,Other Technology,attackiq.com,Los Altos,CA,94022,(888) 588-9116,2014.0,11.0,"Brett Galloway, Dan Miller, Danielle Murcray, Rajesh Sharma, Stephan Chenette","Brian Byun, Kevin Dillon, Shardul Shah",84566906.0,45082185.0,Series C,2021-04-30,4.0,0.0,100.0,138674.0,"['Software Engineer', 'Security Data Scientist']",4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
AUGUST HOME INC,Other,augusthome.com,SAN FRANCISCO,CA,94107,(415) 637-3799,2012.0,13.0,Jason Johnson,"Bharat Vasan, David Wu, Michael Levit, Robert Stavis",64042972.0,24999999.0,Series B,2017-04-05,8.0,0.0,100.0,149081.62,"['Senior Android Engineer', 'Quality Assurance Manager']",8.0,0.6755843804891231,1.0,1.0,0.3244156195108769,CONSIDER,1,0,ESTABLISHED
AUTOFI INC,Other,autofi.com,SAN FRANCISCO,CA,94107,(888) 447-9360,2015.0,10.0,"Jonathan Palan, Kevin Singerman, Steve O'Brien","David McClelland, David Silverman, Mandar Gokhale, Steven Abernethy",26599998.0,11499998.0,Series A,2019-04-12,6.0,0.0,100.0,99486.0,['Associate Business Intelligence Analyst'],6.0,0.6096569663469354,1.0,1.0,0.3903430336530644,CONSIDER,1,0,ESTABLISHED
AUTOMOTIVEMASTERMIND INC,Other Technology,automotivemastermind.com,NEW YORK,NY,10038,(800) 801-0018,2012.0,13.0,"Johannes Gnauck, Marco Schnabl",David Greenberg,48229494.0,44729478.0,Series C,2016-09-06,34.0,0.0,100.0,103000.0,['Data Analyst'],34.0,0.8984820937803899,1.0,1.0,0.1015179062196101,PRIORITIZE,1,1,ESTABLISHED
AVERNA THERAPEUTICS INC,Other Health Care,avernatherapeutics.com,WATERTOWN,MA,2472,972 73 2822600,2022.0,3.0,"Anat Nursella, Tal Zaks, M.D., Ph.D., Thomas Barnes, Ph.D.","Dylan Morris, Henry Chen, Raju Prasad, Ph.D., Roy Amariglio, Stephen Squinto",85000000.0,85000000.0,Series C,2024-04-08,20.0,0.0,100.0,83000.0,"['Research Associate, Protein Sciences']",20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,YOUNG
AVIDITY BIOSCIENCES LLC,Biotechnology,aviditybiosciences.com,LA JOLLA,CA,92037,(858) 401-7900,2012.0,13.0,"P. Kent Hawryluk, Troy Wilson PhD., JD","Michael Martin PhD., Todd Brady",23313577.0,23313577.0,Series B,2016-12-21,4.0,0.0,100.0,79976.0,['Senior Research Associate '],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
AVOCHATO INC,Other Technology,avochato.com,SAN FRANCISCO,CA,94105,(415) 214-8977,2015.0,10.0,Alejandro De Simone,"Charles Reim, Christopher Neale, Robert Siegel",4934991.0,4934991.0,Seed,2018-10-29,4.0,0.0,100.0,100000.0,['Full-Stack Engineer'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
BARSTOOL SPORTS INC,Other,barstoolsports.com,NEW YORK,NY,10001,(845) 641-3102,2015.0,10.0,David Portnoy,,23250007.0,14800016.0,Series A,2017-11-07,4.0,0.0,100.0,150000.0,['Senior Front-end Engineer'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
BENCHLING INC,Other,benchling.com,SAN FRANCISCO,CA,94103,(415) 590-2798,2012.0,13.0,Sajith Wickramasekara,"Ashutosh Singhal, Miles Grimshaw",7003105.0,7003105.0,Series A,2016-04-18,78.0,0.0,100.0,142500.0,"['Software Engineer', 'Sales Implementation Engineer', 'Implementation Manager', 'Engagement Manager', 'Business Systems Analyst']",78.0,0.9530605462258804,1.0,1.0,0.0469394537741195,PRIORITIZE,1,1,ESTABLISHED
BENEFITS SCIENCE LLC,Other,benefitsscience.com,WALTHAM,MA,2452,(281) 825-5619,2011.0,14.0,"Sidney Mann, Stephen Sofoul","Dimitris Bertsimas, R. Clyde Parker, Rufus Clyde Parker, Yiannis Clyde Monovoukas",4113000.0,3000000.0,Seed,2018-07-16,18.0,0.0,100.0,82535.0,"['Data Engineer II (00049724)', 'Software Engineer', 'Data Analyst']",18.0,0.8241154494176252,1.0,1.0,0.1758845505823748,PRIORITIZE,1,1,ESTABLISHED
BIGSTREAM SOLUTIONS INC,Other,,SUNNYVALE,CA,94085,(512) 632-5758,2015.0,10.0,Maysam Lavasani,"Albert Azout, Babak Yazdani, Hui Liang",23291119.0,18291123.0,Series A,2019-11-19,120.0,0.0,100.0,133640.0,"['Software Engineer', 'Database Administrator']",120.0,0.9689797289440706,1.0,1.0,0.0310202710559294,PRIORITIZE,1,1,ESTABLISHED
BIRDEYE INC,Other Technology,birdeye.com,Palo Alto,CA,94303,18005613357,2012.0,13.0,"David Lehman, Naveen Gupta, Neeraj Gupta, Yang Chao","Ajay Chopra, Joseph Porten, Neeraj Gupta, Robert Theis",69999991.0,49999998.0,Series C,2022-02-25,12.0,0.0,100.0,168500.0,"['Vice President, Pre and Post Sales', 'Senior Manager, Finance And Accounts']",12.0,0.7574992425007574,1.0,1.0,0.2425007574992426,PRIORITIZE,1,1,ESTABLISHED
BLOCKAPPS INC,Other Technology,blockapps.io,BROOKLYN,NY,11249,(917) 312-3660,2015.0,10.0,"Kieren James Lubin, Kieren James-Lubin","James James Lang, John James Kidd, Joseph James Lubin, Joseph Lubin, Kate James Mitselmakher, Victor James Wong, Victor Wong, Xavier James Segura",66299100.0,30000000.0,Series B,2022-04-14,4.0,0.0,100.0,82500.0,['Junior Enterprise Blockchain Developer'],4.0,0.5100999795960008,1.0,1.0,0.4899000204039991,CONSIDER,1,0,ESTABLISHED
BLUECORE INC,Other,bluecore.com,NEW YORK,NY,10038,(646) 690-0490,2013.0,12.0,"Emily Deadwyler, Fayez Mohamood, Laura Cooper, Mahmoud Arram, Max Bennett, Michelle McComb, Robert Holland","Amish Jani, Justin LaFayette, Mary Kay Huse, Scott Beechuck, Scott Beechuk, Shivani Tejuja",235997252.0,24945670.0,Series B,2024-10-29,20.0,0.0,100.0,110000.0,['Software Engineer '],20.0,0.8388698745050667,1.0,1.0,0.1611301254949333,PRIORITIZE,1,1,ESTABLISHED
